"Chr"	"start_max"	"end_max"	"Id"	"score"	"strand"	"condition"	"Cluster_Shape"
"4...29"	1	169186	169316	"CNAG_00061bcd"	0	"+"	"STAT 37"	"NA"
"352...30"	1	177124	177254	"CNAG_00064"	0	"-"	"EXPO 30"	"NA"
"287...31"	1	177124	177254	"CNAG_00064b"	0	"-"	"STAT 37"	"Broad"
"5...32"	1	177227	177357	"CNAG_00065"	0	"+"	"EXPO 30"	"Broad"
"7...33"	1	177227	177357	"CNAG_00065b"	0	"+"	"STAT 30"	"Broad"
"5...34"	1	177227	177357	"CNAG_00065bc"	0	"+"	"EXPO 37"	"Broad"
"5...35"	1	177240	177370	"CNAG_00065bcd"	0	"+"	"STAT 37"	"Broad"
"6...36"	1	183958	184088	"CNAG_00067"	0	"+"	"EXPO 30"	"NA"
"8...37"	1	183958	184088	"CNAG_00067b"	0	"+"	"STAT 30"	"NA"
"6...38"	1	183958	184088	"CNAG_00067bc"	0	"+"	"EXPO 37"	"NA"
"353...39"	1	209247	209377	"CNAG_00075"	0	"-"	"STAT 30"	"NA"
"266...40"	1	209247	209377	"CNAG_00075b"	0	"-"	"EXPO 37"	"Broad"
"288...41"	1	209247	209377	"CNAG_00075bc"	0	"-"	"STAT 37"	"NA"
"9...42"	1	253319	253449	"CNAG_00091"	0	"+"	"STAT 30"	"Broad"
"6...43"	1	253319	253449	"CNAG_00091b"	0	"+"	"STAT 37"	"Broad"
"7...44"	1	255924	256054	"CNAG_00092"	0	"+"	"EXPO 30"	"Broad"
"10...45"	1	255924	256054	"CNAG_00092b"	0	"+"	"STAT 30"	"Broad"
"353...46"	1	259681	259811	"CNAG_00093"	0	"-"	"EXPO 30"	"Broad"
"354...47"	1	259681	259811	"CNAG_00093b"	0	"-"	"STAT 30"	"Broad"
"289...48"	1	259681	259811	"CNAG_00093bc"	0	"-"	"STAT 37"	"Sharp"
"8...49"	1	301034	301164	"CNAG_00109"	0	"+"	"EXPO 30"	"Broad"
"11...50"	1	301034	301164	"CNAG_00109b"	0	"+"	"STAT 30"	"Broad"
"354...51"	1	313787	313917	"CNAG_00115"	0	"-"	"EXPO 30"	"NA"
"355...52"	1	313787	313917	"CNAG_00115b"	0	"-"	"STAT 30"	"Sharp"
"267...53"	1	313787	313917	"CNAG_00115bc"	0	"-"	"EXPO 37"	"NA"
"290...54"	1	313787	313917	"CNAG_00115bcd"	0	"-"	"STAT 37"	"Sharp"
"9...55"	1	314911	315041	"CNAG_00116"	0	"+"	"EXPO 30"	"NA"
"12...56"	1	314911	315041	"CNAG_00116b"	0	"+"	"STAT 30"	"NA"
"7...57"	1	314911	315041	"CNAG_00116bc"	0	"+"	"EXPO 37"	"NA"
"7...58"	1	314911	315041	"CNAG_00116bcd"	0	"+"	"STAT 37"	"NA"
"10...59"	1	367794	367924	"CNAG_00135"	0	"+"	"EXPO 30"	"Broad"
"13...60"	1	367794	367924	"CNAG_00135b"	0	"+"	"STAT 30"	"Broad"
"8...61"	1	367794	367924	"CNAG_00135bc"	0	"+"	"EXPO 37"	"Broad"
"8...62"	1	367794	367924	"CNAG_00135bcd"	0	"+"	"STAT 37"	"Broad"
"11...63"	1	374448	374578	"CNAG_00138"	0	"+"	"EXPO 30"	"Broad"
"14...64"	1	374448	374578	"CNAG_00138b"	0	"+"	"STAT 30"	"Broad"
"355...65"	1	377963	378093	"CNAG_00139"	0	"-"	"EXPO 30"	"NA"
"356...66"	1	380755	380885	"CNAG_00140"	0	"-"	"STAT 30"	"Broad"
"268...67"	1	380755	380885	"CNAG_00140b"	0	"-"	"EXPO 37"	"Broad"
"12...68"	1	410390	410520	"CNAG_00149"	0	"+"	"EXPO 30"	"Broad"
"356...69"	1	420064	420194	"CNAG_00152"	0	"-"	"EXPO 30"	"NA"
"357...70"	1	420062	420192	"CNAG_00152b"	0	"-"	"STAT 30"	"Sharp"
"269...71"	1	420064	420194	"CNAG_00152bc"	0	"-"	"EXPO 37"	"Sharp"
"357...72"	1	441341	441471	"CNAG_00162"	0	"-"	"EXPO 30"	"NA"
"358...73"	1	441341	441471	"CNAG_00162b"	0	"-"	"STAT 30"	"Broad"
"270...74"	1	441341	441471	"CNAG_00162bc"	0	"-"	"EXPO 37"	"Broad"
"291...75"	1	441341	441471	"CNAG_00162bcd"	0	"-"	"STAT 37"	"Broad"
"271...76"	1	478599	478729	"CNAG_00176"	0	"-"	"EXPO 37"	"NA"
"13...77"	1	506902	507032	"CNAG_00187"	0	"+"	"EXPO 30"	"Broad"
"15...78"	1	506902	507032	"CNAG_00187b"	0	"+"	"STAT 30"	"Broad"
"9...79"	1	506902	507032	"CNAG_00187bc"	0	"+"	"EXPO 37"	"Broad"
"9...80"	1	506902	507032	"CNAG_00187bcd"	0	"+"	"STAT 37"	"Broad"
"358...81"	1	612500	612630	"CNAG_00232"	0	"-"	"EXPO 30"	"NA"
"359...82"	1	612500	612630	"CNAG_00232b"	0	"-"	"STAT 30"	"Broad"
"272...83"	1	612500	612630	"CNAG_00232bc"	0	"-"	"EXPO 37"	"Sharp"
"292...84"	1	612493	612623	"CNAG_00232bcd"	0	"-"	"STAT 37"	"Sharp"
"16...85"	1	634625	634755	"CNAG_00241"	0	"+"	"STAT 30"	"Broad"
"14...86"	1	662138	662268	"CNAG_00253"	0	"+"	"EXPO 30"	"Broad"
"15...87"	1	665458	665588	"CNAG_00254"	0	"+"	"EXPO 30"	"NA"
"10...88"	1	665458	665588	"CNAG_00254b"	0	"+"	"EXPO 37"	"NA"
"10...89"	1	665458	665588	"CNAG_00254bc"	0	"+"	"STAT 37"	"NA"
"16...90"	1	686713	686843	"CNAG_00261"	0	"+"	"EXPO 30"	"Broad"
"11...91"	1	686713	686843	"CNAG_00261b"	0	"+"	"EXPO 37"	"Broad"
"11...92"	1	686713	686843	"CNAG_00261bc"	0	"+"	"STAT 37"	"Broad"
"359...93"	1	693577	693707	"CNAG_00264"	0	"-"	"EXPO 30"	"Broad"
"360...94"	1	693579	693709	"CNAG_00264b"	0	"-"	"STAT 30"	"Broad"
"273...95"	1	693579	693709	"CNAG_00264bc"	0	"-"	"EXPO 37"	"Broad"
"360...96"	1	696228	696358	"CNAG_00266"	0	"-"	"EXPO 30"	"NA"
"361...97"	1	696228	696358	"CNAG_00266b"	0	"-"	"STAT 30"	"Broad"
"293...98"	1	696228	696358	"CNAG_00266bc"	0	"-"	"STAT 37"	"Broad"
"17...99"	1	757166	757296	"CNAG_00294"	0	"+"	"EXPO 30"	"Broad"
"17...100"	1	757169	757299	"CNAG_00294b"	0	"+"	"STAT 30"	"Broad"
"12...101"	1	757169	757299	"CNAG_00294bc"	0	"+"	"EXPO 37"	"Broad"
"12...102"	1	757169	757299	"CNAG_00294bcd"	0	"+"	"STAT 37"	"Broad"
"18...103"	1	787787	787917	"CNAG_00306"	0	"+"	"EXPO 30"	"Sharp"
"13...104"	1	787787	787917	"CNAG_00306b"	0	"+"	"EXPO 37"	"Sharp"
"361...105"	1	790142	790272	"CNAG_00307"	0	"-"	"EXPO 30"	"NA"
"362...106"	1	790142	790272	"CNAG_00307b"	0	"-"	"STAT 30"	"Broad"
"274...107"	1	790142	790272	"CNAG_00307bc"	0	"-"	"EXPO 37"	"Broad"
"294...108"	1	790142	790272	"CNAG_00307bcd"	0	"-"	"STAT 37"	"Broad"
"19...109"	1	809384	809514	"CNAG_00315"	0	"+"	"EXPO 30"	"Broad"
"18...110"	1	809384	809514	"CNAG_00315b"	0	"+"	"STAT 30"	"Broad"
"14...111"	1	809391	809521	"CNAG_00315bc"	0	"+"	"EXPO 37"	"Broad"
"13...112"	1	809391	809521	"CNAG_00315bcd"	0	"+"	"STAT 37"	"Broad"
"362...113"	1	815984	816114	"CNAG_00317"	0	"-"	"EXPO 30"	"Broad"
"363...114"	1	815976	816106	"CNAG_00317b"	0	"-"	"STAT 30"	"NA"
"275...115"	1	815976	816106	"CNAG_00317bc"	0	"-"	"EXPO 37"	"NA"
"295...116"	1	815976	816106	"CNAG_00317bcd"	0	"-"	"STAT 37"	"NA"
"363...117"	1	842987	843117	"CNAG_00329"	0	"-"	"EXPO 30"	"Broad"
"276...118"	1	842987	843117	"CNAG_00329b"	0	"-"	"EXPO 37"	"Broad"
"364...119"	1	885179	885309	"CNAG_00345"	0	"-"	"STAT 30"	"Sharp"
"277...120"	1	885179	885309	"CNAG_00345b"	0	"-"	"EXPO 37"	"Sharp"
"19...121"	1	885225	885355	"CNAG_00346"	0	"+"	"STAT 30"	"Broad"
"364...122"	1	904360	904490	"CNAG_00354"	0	"-"	"EXPO 30"	"Sharp"
"20...123"	1	904433	904563	"CNAG_00355"	0	"+"	"EXPO 30"	"Broad"
"20...124"	1	904425	904555	"CNAG_00355b"	0	"+"	"STAT 30"	"Broad"
"15...125"	1	904433	904563	"CNAG_00355bc"	0	"+"	"EXPO 37"	"Broad"
"14...126"	1	904425	904555	"CNAG_00355bcd"	0	"+"	"STAT 37"	"Broad"
"365...127"	1	916131	916261	"CNAG_00360"	0	"-"	"EXPO 30"	"Sharp"
"365...128"	1	916131	916261	"CNAG_00360b"	0	"-"	"STAT 30"	"Sharp"
"278...129"	1	916131	916261	"CNAG_00360bc"	0	"-"	"EXPO 37"	"Sharp"
"366...130"	1	920972	921102	"CNAG_00362"	0	"-"	"EXPO 30"	"NA"
"366...131"	1	920972	921102	"CNAG_00362b"	0	"-"	"STAT 30"	"Broad"
"279...132"	1	920972	921102	"CNAG_00362bc"	0	"-"	"EXPO 37"	"Broad"
"367...133"	1	943161	943291	"CNAG_00370"	0	"-"	"EXPO 30"	"Broad"
"367...134"	1	943161	943291	"CNAG_00370b"	0	"-"	"STAT 30"	"Broad"
"280...135"	1	943161	943291	"CNAG_00370bc"	0	"-"	"EXPO 37"	"Broad"
"296...136"	1	943161	943291	"CNAG_00370bcd"	0	"-"	"STAT 37"	"Broad"
"21...137"	1	1076501	1076631	"CNAG_00409"	0	"+"	"STAT 30"	"NA"
"15...138"	1	1076501	1076631	"CNAG_00409b"	0	"+"	"STAT 37"	"NA"
"368...139"	1	1081133	1081263	"CNAG_00410"	0	"-"	"EXPO 30"	"Broad"
"281...140"	1	1081156	1081286	"CNAG_00410b"	0	"-"	"EXPO 37"	"Broad"
"369...141"	1	1096287	1096417	"CNAG_00417"	0	"-"	"EXPO 30"	"NA"
"368...142"	1	1096315	1096445	"CNAG_00417b"	0	"-"	"STAT 30"	"Sharp"
"282...143"	1	1096287	1096417	"CNAG_00417bc"	0	"-"	"EXPO 37"	"NA"
"370...144"	1	1098630	1098760	"CNAG_00418"	0	"-"	"EXPO 30"	"Broad"
"21...145"	1	1109184	1109314	"CNAG_00424"	0	"+"	"EXPO 30"	"NA"
"22...146"	1	1109184	1109314	"CNAG_00424b"	0	"+"	"STAT 30"	"Broad"
"16...147"	1	1109184	1109314	"CNAG_00424bc"	0	"+"	"EXPO 37"	"Broad"
"371...148"	1	1137005	1137135	"CNAG_00436"	0	"-"	"EXPO 30"	"Broad"
"369...149"	1	1137005	1137135	"CNAG_00436b"	0	"-"	"STAT 30"	"Broad"
"283...150"	1	1137005	1137135	"CNAG_00436bc"	0	"-"	"EXPO 37"	"Broad"
"297...151"	1	1136997	1137127	"CNAG_00436bcd"	0	"-"	"STAT 37"	"Broad"
"372...152"	1	1147528	1147658	"CNAG_00441"	0	"-"	"EXPO 30"	"Broad"
"370...153"	1	1147528	1147658	"CNAG_00441b"	0	"-"	"STAT 30"	"Sharp"
"284...154"	1	1147528	1147658	"CNAG_00441bc"	0	"-"	"EXPO 37"	"Broad"
"22...155"	1	1174783	1174913	"CNAG_00453"	0	"+"	"EXPO 30"	"NA"
"23...156"	1	1174783	1174913	"CNAG_00453b"	0	"+"	"STAT 30"	"Broad"
"17...157"	1	1174783	1174913	"CNAG_00453bc"	0	"+"	"EXPO 37"	"Broad"
"16...158"	1	1174783	1174913	"CNAG_00453bcd"	0	"+"	"STAT 37"	"Broad"
"298...159"	1	1208913	1209043	"CNAG_00465"	0	"-"	"STAT 37"	"Sharp"
"373...160"	1	1216809	1216939	"CNAG_00471"	0	"-"	"EXPO 30"	"NA"
"374...161"	1	1219565	1219695	"CNAG_00473"	0	"-"	"EXPO 30"	"Broad"
"371...162"	1	1219565	1219695	"CNAG_00473b"	0	"-"	"STAT 30"	"Broad"
"375...163"	1	1242302	1242432	"CNAG_00482"	0	"-"	"EXPO 30"	"Sharp"
"23...164"	1	1242397	1242527	"CNAG_00483"	0	"+"	"EXPO 30"	"Broad"
"24...165"	1	1242397	1242527	"CNAG_00483b"	0	"+"	"STAT 30"	"Broad"
"18...166"	1	1242397	1242527	"CNAG_00483bc"	0	"+"	"EXPO 37"	"Broad"
"17...167"	1	1242397	1242527	"CNAG_00483bcd"	0	"+"	"STAT 37"	"Broad"
"376...168"	1	1248863	1248993	"CNAG_00485"	0	"-"	"EXPO 30"	"Sharp"
"372...169"	1	1248867	1248997	"CNAG_00485b"	0	"-"	"STAT 30"	"Broad"
"285...170"	1	1248863	1248993	"CNAG_00485bc"	0	"-"	"EXPO 37"	"Broad"
"299...171"	1	1248863	1248993	"CNAG_00485bcd"	0	"-"	"STAT 37"	"Broad"
"24...172"	1	1301936	1302066	"CNAG_00510"	0	"+"	"EXPO 30"	"Broad"
"25...173"	1	1301936	1302066	"CNAG_00510b"	0	"+"	"STAT 30"	"Broad"
"18...174"	1	1301936	1302066	"CNAG_00510bc"	0	"+"	"STAT 37"	"Broad"
"25...175"	1	1324513	1324643	"CNAG_00520"	0	"+"	"EXPO 30"	"NA"
"300...176"	1	1358590	1358720	"CNAG_00531"	0	"-"	"STAT 37"	"NA"
"301...177"	1	1365051	1365181	"CNAG_00534"	0	"-"	"STAT 37"	"Sharp"
"26...178"	1	1365151	1365281	"CNAG_00535"	0	"+"	"EXPO 30"	"Broad"
"377...179"	1	1367550	1367680	"CNAG_00536"	0	"-"	"EXPO 30"	"Broad"
"373...180"	1	1367557	1367687	"CNAG_00536b"	0	"-"	"STAT 30"	"Broad"
"286...181"	1	1367550	1367680	"CNAG_00536bc"	0	"-"	"EXPO 37"	"Broad"
"302...182"	1	1367550	1367680	"CNAG_00536bcd"	0	"-"	"STAT 37"	"Broad"
"378...183"	1	1374419	1374549	"CNAG_00539"	0	"-"	"EXPO 30"	"Sharp"
"374...184"	1	1374419	1374549	"CNAG_00539b"	0	"-"	"STAT 30"	"Broad"
"303...185"	1	1374419	1374549	"CNAG_00539bc"	0	"-"	"STAT 37"	"Broad"
"379...186"	1	1421011	1421141	"CNAG_00551"	0	"-"	"EXPO 30"	"NA"
"375...187"	1	1421011	1421141	"CNAG_00551b"	0	"-"	"STAT 30"	"NA"
"380...188"	1	1433656	1433786	"CNAG_00555"	0	"-"	"EXPO 30"	"NA"
"376...189"	1	1433656	1433786	"CNAG_00555b"	0	"-"	"STAT 30"	"NA"
"287...190"	1	1433656	1433786	"CNAG_00555bc"	0	"-"	"EXPO 37"	"Broad"
"304...191"	1	1433656	1433786	"CNAG_00555bcd"	0	"-"	"STAT 37"	"NA"
"381...192"	1	1447257	1447387	"CNAG_00560"	0	"-"	"EXPO 30"	"Broad"
"377...193"	1	1447257	1447387	"CNAG_00560b"	0	"-"	"STAT 30"	"Broad"
"288...194"	1	1447257	1447387	"CNAG_00560bc"	0	"-"	"EXPO 37"	"Broad"
"305...195"	1	1447257	1447387	"CNAG_00560bcd"	0	"-"	"STAT 37"	"Broad"
"378...196"	1	1478296	1478426	"CNAG_00573"	0	"-"	"STAT 30"	"Broad"
"289...197"	1	1478296	1478426	"CNAG_00573b"	0	"-"	"EXPO 37"	"Broad"
"306...198"	1	1478296	1478426	"CNAG_00573bc"	0	"-"	"STAT 37"	"NA"
"379...199"	1	1499692	1499822	"CNAG_00582"	0	"-"	"STAT 30"	"NA"
"290...200"	1	1499692	1499822	"CNAG_00582b"	0	"-"	"EXPO 37"	"NA"
"307...201"	1	1499692	1499822	"CNAG_00582bc"	0	"-"	"STAT 37"	"NA"
"19...202"	1	1504745	1504875	"CNAG_00584"	0	"+"	"STAT 37"	"Broad"
"380...203"	1	1509696	1509826	"CNAG_00587"	0	"-"	"STAT 30"	"NA"
"382...204"	1	1550111	1550241	"CNAG_00602"	0	"-"	"EXPO 30"	"Broad"
"381...205"	1	1550111	1550241	"CNAG_00602b"	0	"-"	"STAT 30"	"Broad"
"291...206"	1	1550111	1550241	"CNAG_00602bc"	0	"-"	"EXPO 37"	"Broad"
"27...207"	1	1554039	1554169	"CNAG_00605"	0	"+"	"EXPO 30"	"Sharp"
"26...208"	1	1554035	1554165	"CNAG_00605b"	0	"+"	"STAT 30"	"Sharp"
"19...209"	1	1554035	1554165	"CNAG_00605bc"	0	"+"	"EXPO 37"	"Sharp"
"20...210"	1	1554035	1554165	"CNAG_00605bcd"	0	"+"	"STAT 37"	"Broad"
"28...211"	1	1578175	1578305	"CNAG_00614"	0	"+"	"EXPO 30"	"NA"
"27...212"	1	1578175	1578305	"CNAG_00614b"	0	"+"	"STAT 30"	"Broad"
"20...213"	1	1578175	1578305	"CNAG_00614bc"	0	"+"	"EXPO 37"	"Broad"
"29...214"	1	1607258	1607388	"CNAG_00626"	0	"+"	"EXPO 30"	"Broad"
"28...215"	1	1607258	1607388	"CNAG_00626b"	0	"+"	"STAT 30"	"Sharp"
"21...216"	1	1607258	1607388	"CNAG_00626bc"	0	"+"	"STAT 37"	"Sharp"
"30...217"	1	1633728	1633858	"CNAG_00633"	0	"+"	"EXPO 30"	"NA"
"29...218"	1	1633728	1633858	"CNAG_00633b"	0	"+"	"STAT 30"	"NA"
"31...219"	1	1650013	1650143	"CNAG_00637"	0	"+"	"EXPO 30"	"NA"
"30...220"	1	1650013	1650143	"CNAG_00637b"	0	"+"	"STAT 30"	"NA"
"21...221"	1	1650013	1650143	"CNAG_00637bc"	0	"+"	"EXPO 37"	"Sharp"
"22...222"	1	1650017	1650147	"CNAG_00637bcd"	0	"+"	"STAT 37"	"Sharp"
"32...223"	1	1656472	1656602	"CNAG_00640"	0	"+"	"EXPO 30"	"NA"
"31...224"	1	1656472	1656602	"CNAG_00640b"	0	"+"	"STAT 30"	"NA"
"22...225"	1	1656472	1656602	"CNAG_00640bc"	0	"+"	"EXPO 37"	"Sharp"
"23...226"	1	1656472	1656602	"CNAG_00640bcd"	0	"+"	"STAT 37"	"Sharp"
"382...227"	1	1662331	1662461	"CNAG_00641"	0	"-"	"STAT 30"	"Broad"
"308...228"	1	1662331	1662461	"CNAG_00641b"	0	"-"	"STAT 37"	"Broad"
"383...229"	1	1707058	1707188	"CNAG_00655"	0	"-"	"STAT 30"	"NA"
"309...230"	1	1707058	1707188	"CNAG_00655b"	0	"-"	"STAT 37"	"Broad"
"33...231"	1	1707235	1707365	"CNAG_00656"	0	"+"	"EXPO 30"	"Broad"
"32...232"	1	1707235	1707365	"CNAG_00656b"	0	"+"	"STAT 30"	"Broad"
"23...233"	1	1707235	1707365	"CNAG_00656bc"	0	"+"	"EXPO 37"	"Broad"
"24...234"	1	1707235	1707365	"CNAG_00656bcd"	0	"+"	"STAT 37"	"Broad"
"383...235"	1	1739506	1739636	"CNAG_00668"	0	"-"	"EXPO 30"	"Broad"
"384...236"	1	1739509	1739639	"CNAG_00668b"	0	"-"	"STAT 30"	"Broad"
"292...237"	1	1739506	1739636	"CNAG_00668bc"	0	"-"	"EXPO 37"	"Broad"
"310...238"	1	1739506	1739636	"CNAG_00668bcd"	0	"-"	"STAT 37"	"Broad"
"34...239"	1	1746794	1746924	"CNAG_00672"	0	"+"	"EXPO 30"	"NA"
"311...240"	1	1755761	1755891	"CNAG_00675"	0	"-"	"STAT 37"	"Broad"
"35...241"	1	1758992	1759122	"CNAG_00677"	0	"+"	"EXPO 30"	"Broad"
"25...242"	1	1764572	1764702	"CNAG_00679"	0	"+"	"STAT 37"	"Sharp"
"384...243"	1	1767534	1767664	"CNAG_00680"	0	"-"	"EXPO 30"	"Broad"
"385...244"	1	1787722	1787852	"CNAG_00686"	0	"-"	"EXPO 30"	"NA"
"385...245"	1	1787722	1787852	"CNAG_00686b"	0	"-"	"STAT 30"	"NA"
"293...246"	1	1787722	1787852	"CNAG_00686bc"	0	"-"	"EXPO 37"	"Broad"
"312...247"	1	1787722	1787852	"CNAG_00686bcd"	0	"-"	"STAT 37"	"Sharp"
"36...248"	1	1806810	1806940	"CNAG_00694"	0	"+"	"EXPO 30"	"Broad"
"33...249"	1	1806816	1806946	"CNAG_00694b"	0	"+"	"STAT 30"	"Broad"
"24...250"	1	1806810	1806940	"CNAG_00694bc"	0	"+"	"EXPO 37"	"Broad"
"26...251"	1	1806816	1806946	"CNAG_00694bcd"	0	"+"	"STAT 37"	"Broad"
"386...252"	1	1840750	1840880	"CNAG_00703"	0	"-"	"EXPO 30"	"Sharp"
"37...253"	1	1848190	1848320	"CNAG_00706"	0	"+"	"EXPO 30"	"NA"
"34...254"	1	1848181	1848311	"CNAG_00706b"	0	"+"	"STAT 30"	"Broad"
"387...255"	1	1862070	1862200	"CNAG_00712"	0	"-"	"EXPO 30"	"NA"
"294...256"	1	1862070	1862200	"CNAG_00712b"	0	"-"	"EXPO 37"	"NA"
"388...257"	1	1866462	1866592	"CNAG_00715"	0	"-"	"EXPO 30"	"Broad"
"295...258"	1	1866462	1866592	"CNAG_00715b"	0	"-"	"EXPO 37"	"Broad"
"313...259"	1	1866462	1866592	"CNAG_00715bc"	0	"-"	"STAT 37"	"Broad"
"38...260"	1	1866633	1866763	"CNAG_00716"	0	"+"	"EXPO 30"	"Broad"
"35...261"	1	1866654	1866784	"CNAG_00716b"	0	"+"	"STAT 30"	"Broad"
"25...262"	1	1866633	1866763	"CNAG_00716bc"	0	"+"	"EXPO 37"	"Broad"
"27...263"	1	1866654	1866784	"CNAG_00716bcd"	0	"+"	"STAT 37"	"Broad"
"39...264"	1	1868834	1868964	"CNAG_00717"	0	"+"	"EXPO 30"	"Broad"
"36...265"	1	1868834	1868964	"CNAG_00717b"	0	"+"	"STAT 30"	"Broad"
"389...266"	1	1895001	1895131	"CNAG_00727"	0	"-"	"EXPO 30"	"Broad"
"386...267"	1	1895012	1895142	"CNAG_00727b"	0	"-"	"STAT 30"	"Broad"
"296...268"	1	1895012	1895142	"CNAG_00727bc"	0	"-"	"EXPO 37"	"Broad"
"314...269"	1	1895009	1895139	"CNAG_00727bcd"	0	"-"	"STAT 37"	"Broad"
"390...270"	1	1921908	1922038	"CNAG_00735"	0	"-"	"EXPO 30"	"Broad"
"40...271"	1	1941065	1941195	"CNAG_00741"	0	"+"	"EXPO 30"	"Broad"
"41...272"	1	1960138	1960268	"CNAG_00747"	0	"+"	"EXPO 30"	"Broad"
"37...273"	1	1960149	1960279	"CNAG_00747b"	0	"+"	"STAT 30"	"Broad"
"391...274"	1	2001153	2001283	"CNAG_00761"	0	"-"	"EXPO 30"	"Broad"
"387...275"	1	2001139	2001269	"CNAG_00761b"	0	"-"	"STAT 30"	"Broad"
"315...276"	1	2001136	2001266	"CNAG_00761bc"	0	"-"	"STAT 37"	"Broad"
"297...277"	1	2014321	2014451	"CNAG_00766"	0	"-"	"EXPO 37"	"Broad"
"388...278"	1	2027427	2027557	"CNAG_00771"	0	"-"	"STAT 30"	"Sharp"
"316...279"	1	2027427	2027557	"CNAG_00771b"	0	"-"	"STAT 37"	"Sharp"
"392...280"	1	2033150	2033280	"CNAG_00774"	0	"-"	"EXPO 30"	"Sharp"
"42...281"	1	2051918	2052048	"CNAG_00779"	0	"+"	"EXPO 30"	"NA"
"38...282"	1	2051918	2052048	"CNAG_00779b"	0	"+"	"STAT 30"	"Broad"
"26...283"	1	2051918	2052048	"CNAG_00779bc"	0	"+"	"EXPO 37"	"Broad"
"28...284"	1	2051918	2052048	"CNAG_00779bcd"	0	"+"	"STAT 37"	"NA"
"393...285"	1	2061673	2061803	"CNAG_00783"	0	"-"	"EXPO 30"	"NA"
"389...286"	1	2061673	2061803	"CNAG_00783b"	0	"-"	"STAT 30"	"NA"
"298...287"	1	2061673	2061803	"CNAG_00783bc"	0	"-"	"EXPO 37"	"Broad"
"317...288"	1	2061673	2061803	"CNAG_00783bcd"	0	"-"	"STAT 37"	"NA"
"43...289"	1	2063392	2063522	"CNAG_00785"	0	"+"	"EXPO 30"	"NA"
"39...290"	1	2063392	2063522	"CNAG_00785b"	0	"+"	"STAT 30"	"Broad"
"27...291"	1	2063392	2063522	"CNAG_00785bc"	0	"+"	"EXPO 37"	"Broad"
"29...292"	1	2063392	2063522	"CNAG_00785bcd"	0	"+"	"STAT 37"	"Broad"
"30...293"	1	2066638	2066768	"CNAG_00787"	0	"+"	"STAT 37"	"Broad"
"394...294"	1	2075073	2075203	"CNAG_00788"	0	"-"	"EXPO 30"	"Sharp"
"44...295"	1	2131567	2131697	"CNAG_00806"	0	"+"	"EXPO 30"	"NA"
"40...296"	1	2131567	2131697	"CNAG_00806b"	0	"+"	"STAT 30"	"Sharp"
"28...297"	1	2131567	2131697	"CNAG_00806bc"	0	"+"	"EXPO 37"	"Broad"
"31...298"	1	2131567	2131697	"CNAG_00806bcd"	0	"+"	"STAT 37"	"Broad"
