Id	WT30_a	WT30_b	WT30_c	WT37_a	WT37_b	WT37_c	norm.WT30_a	norm.WT30_b	norm.WT30_c	norm.WT37_a	norm.WT37_b	norm.WT37_c	baseMean	WT	WT37	FoldChange	log2FoldChange	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
CNAG_07969	151	59	81	628	348	355	151	59	81	628	348	355	270.33	97	444	4.574	2.193	3.84004713015451e-06	0.000999150724442126	0.1617	0.1535	0.1562	0.1562	TRUE	2.3101
CNAG_02706	102	36	79	253	392	315	102	36	79	253	392	315	196.17	72	320	4.424	2.145	4.91985120144961e-06	0.00108652205631939	0.1332	0.1584	0.1505	0.1505	TRUE	0.4452
CNAG_03021	99	72	74	199	346	470	99	72	74	199	346	470	210	82	338	4.143	2.051	5.07455917721214e-06	0.00108652205631939	0.1019	0.1572	0.138	0.138	TRUE	0.0896
CNAG_05641	128	105	63	1418	275	288	128	105	63	1418	275	288	379.5	99	660	6.693	2.743	4.4995638802601e-06	0.00108652205631939	0.4787	0.1498	0.2518	0.2518	TRUE	11.8922
CNAG_06449	190	141	195	499	563	763	190	141	195	499	563	763	391.83	175	608	3.47	1.795	5.30010759180189e-06	0.00108652205631939	0.0371	0.1495	0.1083	0.1083	TRUE	0.453
CNAG_06758	1180	586	558	2663	2535	3875	1180	586	558	2663	2535	3875	1899.5	775	3024	3.904	1.965	5.25323406548129e-06	0.00108652205631939	0.1165	0.1424	0.1333	0.1333	TRUE	2.4864
CNAG_07520	287	220	258	803	720	996	287	220	258	803	720	996	547.33	255	840	3.293	1.719	4.87362745167782e-06	0.00108652205631939	0.0208	0.147	0.0994	0.0994	TRUE	0.2809
CNAG_01856	377	213	234	787	917	1232	377	213	234	787	917	1232	626.67	275	979	3.563	1.833	8.1444133749512e-06	0.00148910693193364	0.0712	0.1462	0.1193	0.1193	TRUE	0.5794
CNAG_00885	12	4	8	54	69	39	12	4	8	54	69	39	31	8	54	6.75	2.755	9.98094331912382e-06	0.00174605724750919	0.0731	0.2532	0.2085	0.2085	TRUE	0.1644
CNAG_07642	112	71	77	238	313	407	112	71	77	238	313	407	203	87	319	3.685	1.882	1.0065961959033e-05	0.00174605724750919	0.0595	0.1578	0.1235	0.1235	TRUE	0.1124
CNAG_01193	69	68	93	200	292	349	69	68	93	200	292	349	178.5	77	280	3.657	1.87	1.03337100115449e-05	0.00174768870570253	0.0504	0.1601	0.1213	0.1213	TRUE	0.1495
CNAG_03597	118	76	138	315	387	479	118	76	138	315	387	479	252.17	111	394	3.557	1.831	1.28027833458228e-05	0.00207753508637158	0.0581	0.1544	0.1211	0.1211	TRUE	0.2147
CNAG_06831	166	153	208	471	532	701	166	153	208	471	532	701	371.83	176	568	3.233	1.693	1.46298283413475e-05	0.00224933610748217	0.0314	0.15	0.1062	0.1062	TRUE	0.3809
CNAG_07399	59	21	17	122	176	179	59	21	17	122	176	179	95.67	32	159	4.918	2.298	1.64924333359025e-05	0.00247936247816401	0.2099	0.1771	0.1865	0.1865	TRUE	3.5963
CNAG_06817	858	366	318	1853	1516	2986	858	366	318	1853	1516	2986	1316.17	514	2118	4.121	2.043	1.93350543656796e-05	0.00278301367625155	0.2041	0.1432	0.1636	0.1636	TRUE	1.2449
CNAG_01511	76	60	80	295	189	255	76	60	80	295	189	255	159.17	72	246	3.421	1.775	2.00754121996986e-05	0.00282937840689502	0.0313	0.1625	0.1158	0.1158	TRUE	0.1604
CNAG_05728	29	7	16	93	77	99	29	7	16	93	77	99	53.5	17	90	5.173	2.371	2.17989600115243e-05	0.00300959111179514	0.1408	0.2058	0.1903	0.1903	TRUE	1.739
CNAG_01090	1287	666	847	5419	2244	2890	1287	666	847	5419	2244	2890	2225.5	933	3518	3.769	1.914	2.391114132593e-05	0.00323517742139833	0.1713	0.1422	0.1473	0.1473	TRUE	0.638
CNAG_01796	798	370	466	1734	1557	2270	798	370	466	1734	1557	2270	1199.17	545	1854	3.403	1.767	2.69156274267133e-05	0.00357027881454344	0.1033	0.1435	0.1265	0.1265	TRUE	1.7851
CNAG_05514	10	6	5	30	43	64	10	6	5	30	43	64	26.33	7	46	6.524	2.706	3.11419429790308e-05	0.00405144700486814	0.0942	0.2731	0.2218	0.2218	TRUE	0.1256
CNAG_05356	73	42	50	150	203	239	73	42	50	150	203	239	126.17	55	197	3.588	1.843	3.26202610797699e-05	0.00416369936235177	0.0546	0.1682	0.1302	0.1302	TRUE	0.2278
CNAG_07613	43	112	154	334	374	560	43	112	154	334	374	560	262.83	103	423	4.104	2.037	3.91873309719221e-05	0.00490930174120469	0.2074	0.1539	0.1708	0.1708	TRUE	2.1941
CNAG_06662	17	11	11	68	56	57	17	11	11	68	56	57	36.67	13	60	4.641	2.214	4.52230943930026e-05	0.00546311131372611	0	0.2358	0.1657	0.1657	TRUE	0.3036
CNAG_07802	668	189	164	2256	1010	1509	668	189	164	2256	1010	1509	966	340	1592	4.677	2.226	4.7703872283589e-05	0.00566169642102596	0.3654	0.1442	0.2141	0.2141	TRUE	0.6363
CNAG_03384	47	22	38	116	121	165	47	22	38	116	121	165	84.83	36	134	3.757	1.91	5.63736920187924e-05	0.00657531080184708	0.059	0.1817	0.1443	0.1443	TRUE	0.8093
CNAG_07947	135	89	157	378	382	408	135	89	157	378	382	408	258.17	127	389	3.066	1.616	5.78082254997556e-05	0.00662834992382791	0.0304	0.1541	0.1112	0.1112	TRUE	0.7013
CNAG_02899	412	225	155	2706	616	656	412	225	155	2706	616	656	795	264	1326	5.023	2.328	6.04223353135944e-05	0.00679118238390686	0.4517	0.145	0.2406	0.2406	TRUE	9.9662
CNAG_00302	344	198	279	636	793	1179	344	198	279	636	793	1179	571.5	274	869	3.177	1.667	7.00420867020322e-05	0.00764249542805239	0.0838	0.1467	0.1243	0.1243	TRUE	0.3103
CNAG_03644	211	137	209	422	549	765	211	137	209	422	549	765	382.17	186	579	3.117	1.64	8.00997427338645e-05	0.00860118666023164	0.0694	0.1497	0.1211	0.1211	TRUE	0.1733
CNAG_06609	12	1	5	27	50	51	12	1	5	27	50	51	24.33	6	43	7.111	2.83	0.00011266659170543	0.0113759625804065	0.3298	0.284	0.292	0.292	TRUE	1.8145
CNAG_02455	3685	1344	1884	6342	6323	11445	3685	1344	1884	6342	6323	11445	5170.5	2304	8037	3.488	1.802	0.000114749429669504	0.0114158807605029	0.2085	0.1413	0.1571	0.1571	TRUE	3.3295
CNAG_03041	95	48	109	193	281	392	95	48	109	193	281	392	186.33	84	289	3.437	1.781	0.000149562889211071	0.0145577607457448	0.1349	0.1593	0.1513	0.1513	TRUE	0.1492
CNAG_05289	192	60	126	398	389	508	192	60	126	398	389	508	278.83	126	432	3.426	1.776	0.000150634627080878	0.0145577607457448	0.1538	0.1531	0.1532	0.1532	TRUE	0.8672
CNAG_03043	116	48	84	184	277	421	116	48	84	184	277	421	188.33	83	294	3.556	1.83	0.000157671775123513	0.0150232332212756	0.1636	0.1591	0.1614	0.1614	TRUE	0.1412
CNAG_02192	16	10	29	43	95	110	16	10	29	43	95	110	50.5	18	83	4.509	2.173	0.000181841087511229	0.0168836360476804	0.2094	0.2097	0.2095	0.2095	TRUE	0.5912
CNAG_03971	45	32	35	155	89	128	45	32	35	155	89	128	80.67	37	124	3.321	1.732	0.000182188533847845	0.0168836360476804	0.0453	0.1838	0.1369	0.1369	TRUE	0.1332
CNAG_02707	29	25	34	95	100	94	29	25	34	95	100	94	62.83	29	96	3.284	1.715	0.00018611697061987	0.0170146122465327	0	0.1961	0.1296	0.1296	TRUE	0.1281
CNAG_03107	7	0	2	27	35	22	7	0	2	27	35	22	15.5	3	28	9.333	3.222	0.000196638881513247	0.0177368271124948	0.2331	0.3657	0.3553	0.3553	TRUE	1.3857
CNAG_02777	2175	1685	1250	2899	4704	10219	2175	1685	1250	2899	4704	10219	3822	1703	5941	3.488	1.802	0.000215941377929955	0.0190267016810521	0.2424	0.1415	0.1707	0.1707	TRUE	0.4276
CNAG_04442	19	14	15	98	46	54	19	14	15	98	46	54	41	16	66	4.125	2.044	0.000216564084174577	0.0190267016810521	0.0898	0.2257	0.1813	0.1813	TRUE	1.2883
CNAG_04313	2458	1116	1472	2883	6172	7609	2458	1116	1472	2883	6172	7609	3618.33	1682	5555	3.302	1.724	0.00023805198786583	0.0206464320245172	0.18	0.1416	0.1581	0.1581	TRUE	0.2697
CNAG_04707	106	64	115	142	371	486	106	64	115	142	371	486	214	95	333	3.505	1.81	0.000327787495919988	0.027718530123734	0.2155	0.1569	0.1761	0.1761	TRUE	0.21
CNAG_00295	2	0	2	17	15	22	2	0	2	17	15	22	9.67	1	18	13.5	3.755	0.000362216820223412	0.0298828876684315	0	0.5016	0.3962	0.3962	TRUE	0.4747
CNAG_01268	31	17	28	100	80	73	31	17	28	100	80	73	54.83	25	84	3.329	1.735	0.000441624362346908	0.035995045918998	0.0231	0.2042	0.15	0.15	TRUE	0.5106
CNAG_07432	431	246	277	578	889	1292	431	246	277	578	889	1292	618.83	318	920	2.892	1.532	0.000486398059042901	0.0379755817342987	0.1211	0.1462	0.1369	0.1369	TRUE	0.1194
CNAG_00080	93	66	95	265	190	228	93	66	95	265	190	228	156.17	85	228	2.689	1.427	0.000537692183705304	0.0392460385605643	0.0245	0.1629	0.1144	0.1144	TRUE	0.152
CNAG_01367	410	505	592	872	1245	2195	410	505	592	872	1245	2195	969.83	502	1437	2.861	1.517	0.000528407450881387	0.0392460385605643	0.127	0.1442	0.1367	0.1367	TRUE	0.3457
CNAG_02125	90	45	68	149	201	249	90	45	68	149	201	249	133.67	68	200	2.951	1.561	0.000541965294366274	0.0392460385605643	0.0771	0.1667	0.1369	0.1369	TRUE	0.1556
CNAG_02206	28	8	15	155	57	34	28	8	15	155	57	34	49.5	17	82	4.824	2.27	0.000545325591233266	0.0392460385605643	0.432	0.2111	0.2752	0.2752	TRUE	0.6873
CNAG_06622	356	263	330	1165	601	766	356	263	330	1165	601	766	580.17	316	844	2.668	1.416	0.000519426121163546	0.0392460385605643	0.0673	0.1466	0.1178	0.1178	TRUE	0.3298
CNAG_03848	464	382	403	843	964	1260	464	382	403	843	964	1260	719.33	416	1022	2.456	1.296	0.000558145684994496	0.0393855084374576	0.0247	0.1454	0.0999	0.0999	TRUE	0.3536
CNAG_03145	55	52	71	163	126	208	55	52	71	163	126	208	112.5	59	166	2.792	1.481	0.000666973237130499	0.0460415709100799	0.0384	0.1716	0.1251	0.1251	TRUE	0.1124
CNAG_07698	19	15	9	29	70	77	19	15	9	29	70	77	36.5	14	59	4.093	2.033	0.000666943217249977	0.0460415709100799	0.1624	0.2362	0.2139	0.2139	TRUE	1.4826
CNAG_05037	12	25	35	66	87	97	12	25	35	66	87	97	53.67	24	83	3.472	1.796	0.000699239658478721	0.0477813766627126	0.0963	0.2056	0.1754	0.1754	TRUE	0.9988
