Id	WT30_a	WT30_b	WT30_c	WT37_a	WT37_b	WT37_c	norm.WT30_a	norm.WT30_b	norm.WT30_c	norm.WT37_a	norm.WT37_b	norm.WT37_c	baseMean	WT	WT37	FoldChange	log2FoldChange	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
CNAG_06374	4053	2475	1893	314	576	900	4053	2475	1893	314	576	900	1701.83	2807	597	0.213	-2.234	2.49533379268242e-06	0.000747014901112122	0.1988	0.1426	0.1612	0.1612	TRUE	0.4044
CNAG_02893	670	500	492	195	132	137	670	500	492	195	132	137	354.33	554	155	0.279	-1.841	3.2355455229607e-06	0.000912019394284547	0.0359	0.1504	0.1085	0.1085	TRUE	0.5488
CNAG_01952	728	547	422	115	170	174	728	547	422	115	170	174	359.33	566	153	0.27	-1.886	4.41685358521752e-06	0.00108652205631939	0.0587	0.1503	0.1175	0.1175	TRUE	0.1256
CNAG_00904	2277	926	972	104	291	394	2277	926	972	104	291	394	827.33	1392	263	0.189	-2.404	5.80347869428719e-06	0.00112172952476722	0.3047	0.1448	0.2003	0.2003	TRUE	3.7272
CNAG_03199	1239	768	440	264	60	58	1239	768	440	264	60	58	471.5	816	127	0.156	-2.679	5.67145607559086e-06	0.00112172952476722	0.4726	0.148	0.2467	0.2467	TRUE	0.4351
CNAG_04467	2216	1335	952	493	282	359	2216	1335	952	493	282	359	939.5	1501	378	0.252	-1.989	6.1995962881971e-06	0.00116500746915704	0.1306	0.1443	0.138	0.138	TRUE	0.2513
CNAG_05662	341	329	379	140	46	41	341	329	379	140	46	41	212.67	350	76	0.216	-2.208	1.28982222657215e-05	0.00207753508637158	0.2206	0.157	0.1767	0.1767	TRUE	5.0939
CNAG_00247	4517	1907	1659	637	540	833	4517	1907	1659	637	540	833	1682.17	2694	670	0.249	-2.008	1.41702039811688e-05	0.00222933557982806	0.1736	0.1427	0.1532	0.1532	TRUE	3.8899
CNAG_03346	400	319	381	111	114	129	400	319	381	111	114	129	242.33	367	118	0.322	-1.636	1.90200289013289e-05	0.00278301367625155	0.0073	0.155	0.0998	0.0998	TRUE	0.1483
CNAG_02788	2071	1130	1329	655	252	304	2071	1130	1329	655	252	304	956.83	1510	404	0.267	-1.903	4.44124827973657e-05	0.00546273538407598	0.1762	0.1442	0.155	0.155	TRUE	1.6212
CNAG_05914	2882	2720	2198	1231	436	505	2882	2720	2198	1231	436	505	1662	2600	724	0.278	-1.844	6.12360865363368e-05	0.00679118238390686	0.1694	0.1427	0.1517	0.1517	TRUE	4.4439
CNAG_00519	11906	6993	5562	2422	2490	3144	11906	6993	5562	2422	2490	3144	5419.5	8154	2685	0.329	-1.602	9.8572335010872e-05	0.0104194038491961	0.0939	0.1412	0.1218	0.1218	TRUE	0.5586
CNAG_01541	652	483	482	220	155	195	652	483	482	220	155	195	364.5	539	190	0.353	-1.504	0.000106153256569087	0.0110481043183058	0.0275	0.1502	0.105	0.105	TRUE	0.3938
CNAG_07796	3209	675	649	337	298	360	3209	675	649	337	298	360	921.33	1511	332	0.22	-2.188	0.000110130942655683	0.0112884216222075	0.4121	0.1444	0.2288	0.2288	TRUE	11.6464
CNAG_07844	119	139	145	52	43	42	119	139	145	52	43	42	90	134	46	0.34	-1.557	0.000285216598105784	0.0244239276732358	0	0.1794	0.118	0.118	TRUE	0.1165
CNAG_06388	72120	35124	25184	19722	8519	11450	72120	35124	25184	19722	8519	11450	28686.5	44143	13230	0.3	-1.738	0.000348026421110748	0.0290666510964717	0.2533	0.1407	0.1702	0.1702	TRUE	0.615
CNAG_07912	71	54	44	13	18	14	71	54	44	13	18	14	35.67	56	15	0.266	-1.909	0.000448803380718868	0.0361447008400374	0	0.2384	0.171	0.171	TRUE	0.1694
CNAG_02874	4363	2549	2807	1477	864	1279	4363	2549	2807	1477	864	1279	2223.17	3240	1207	0.372	-1.425	0.000460551501863383	0.0366544812953622	0.0786	0.1422	0.1187	0.1187	TRUE	1.1185
CNAG_00079	2173	1302	1327	719	527	605	2173	1302	1327	719	527	605	1108.83	1601	617	0.385	-1.375	0.000488377769532001	0.0379755817342987	0.0585	0.1437	0.111	0.111	TRUE	1.1802
CNAG_03949	1765	1289	1270	447	505	734	1765	1289	1270	447	505	734	1001.67	1441	562	0.39	-1.359	0.000526037694792147	0.0392460385605643	0.0535	0.1441	0.1094	0.1094	TRUE	0.8407
CNAG_04409	2425	1257	1380	822	454	516	2425	1257	1380	822	454	516	1142.33	1687	597	0.354	-1.498	0.000512645804999995	0.0392460385605643	0.113	0.1436	0.1329	0.1329	TRUE	1.7656
CNAG_06241	2910	2439	2692	432	946	1356	2910	2439	2692	432	946	1356	1795.83	2680	911	0.34	-1.556	0.000558907436806494	0.0393855084374576	0.1522	0.1425	0.1459	0.1459	TRUE	0.9707
